"owner_ship_id","owner_id","unit_id"
"1","2","1452"
"2","2","2708"
"3","2","6017"
"4","3","6217"
"5","3","5774"
"6","3","1942"
"7","4","8687"
"8","4","2802"
"9","4","4087"
"10","5","3206"
"11","5","7390"
"12","6","3510"
"13","6","7891"
"14","6","6093"
"15","9","3221"
"16","9","8708"
"17","11","2401"
"18","11","3387"
"19","12","4495"
"20","12","7151"
"21","12","6929"
"22","14","5714"
"23","14","2081"
"24","14","6403"
"25","16","2622"
"26","17","3545"
"27","19","3895"
"28","19","7238"
"29","19","8552"
"30","20","445"
"31","20","4210"
"32","20","6374"
"33","21","8105"
"34","23","1906"
"35","23","3441"
"36","24","2629"
"37","26","189"
"38","28","1173"
"39","28","8922"
"40","29","8354"
"41","30","1196"
"42","30","5587"
"43","31","7727"
"44","31","3175"
"45","31","7495"
"46","33","6953"
"47","33","3148"
"48","34","2797"
"49","35","7935"
"50","35","1889"
"51","35","69"
"52","36","3054"
"53","37","854"
"54","37","6640"
"55","40","7707"
"56","41","6853"
"57","42","5435"
"58","42","3671"
"59","42","4305"
"60","44","3290"
"61","45","7987"
"62","46","879"
"63","46","5774"
"64","47","6631"
"65","47","2415"
"66","48","7852"
"67","48","1943"
"68","49","8606"
"69","50","5471"
"70","50","4713"
"71","51","8198"
"72","53","6513"
"73","54","3824"
"74","54","3828"
"75","55","6980"
"76","55","3429"
"77","57","5767"
"78","57","3644"
"79","57","554"
"80","58","7010"
"81","58","3839"
"82","59","1882"
"83","60","4671"
"84","62","4471"
"85","62","1288"
"86","63","5345"
"87","63","8323"
"88","63","591"
"89","64","4289"
"90","64","8674"
"91","65","995"
"92","65","6580"
"93","67","221"
"94","68","3260"
"95","68","1097"
"96","68","6090"
"97","69","3590"
"98","71","3773"
"99","71","8143"
"100","72","7739"
"101","72","6792"
"102","73","6083"
"103","73","5569"
"104","73","627"
"105","75","1383"
"106","75","6530"
"107","76","8977"
"108","76","8049"
"109","78","2636"
"110","78","183"
"111","79","4093"
"112","79","8751"
"113","80","4866"
"114","80","7898"
"115","81","6933"
"116","82","392"
"117","83","7775"
"118","84","8358"
"119","86","4867"
"120","86","4019"
"121","88","649"
"122","88","556"
"123","88","3851"
"124","89","3979"
"125","90","4827"
"126","90","3912"
"127","91","7422"
"128","94","8153"
"129","95","3036"
"130","96","2549"
"131","96","6216"
"132","97","33"
"133","98","2568"
"134","98","4957"
"135","99","4722"
"136","99","5200"
"137","99","2089"
"138","101","4280"
"139","101","5989"
"140","104","2577"
"141","104","2272"
"142","104","8038"
"143","107","3527"
"144","108","7778"
"145","108","123"
"146","109","7645"
"147","110","4037"
"148","111","6904"
"149","111","2374"
"150","112","8742"
"151","112","6136"
"152","113","1158"
"153","113","5197"
"154","114","2682"
"155","114","5493"
"156","114","2243"
"157","115","347"
"158","115","3450"
"159","119","4365"
"160","119","4439"
"161","119","4574"
"162","120","2383"
"163","121","4568"
"164","123","3700"
"165","124","5340"
"166","124","4273"
"167","124","557"
"168","125","5356"
"169","126","1127"
"170","126","7875"
"171","127","8578"
"172","127","4879"
"173","127","5922"
"174","128","2815"
"175","128","1628"
"176","128","2165"
"177","129","4080"
"178","130","4148"
"179","130","2022"
"180","130","8923"
"181","131","5021"
"182","131","7047"
"183","131","4568"
"184","132","1835"
"185","136","6281"
"186","136","8443"
"187","136","3926"
"188","137","486"
"189","137","1161"
"190","137","4899"
"191","138","3091"
"192","139","4326"
"193","139","3257"
"194","140","2602"
"195","141","3993"
"196","143","8134"
"197","143","2232"
"198","143","4497"
"199","144","2662"
"200","144","1918"
"201","145","6016"
"202","147","1617"
"203","147","7755"
"204","148","7732"
"205","149","6195"
"206","149","5361"
"207","149","3352"
"208","150","8995"
"209","151","633"
"210","151","8713"
"211","151","8562"
"212","152","8363"
"213","153","1126"
"214","155","6725"
"215","156","1782"
"216","156","4000"
"217","157","2983"
"218","157","8449"
"219","158","8447"
"220","158","4056"
"221","159","6026"
"222","159","8240"
"223","160","7880"
"224","161","905"
"225","161","3652"
"226","161","1722"
"227","162","3370"
