segment_id,segment_name,description,target_income_range
1,Premium,Agent every development say.,30952.0-64592.0
2,Budget,Beautiful instead ahead despite measure ago current.,10819.0-147196.0
3,Investors,Information last everything thank serve civil institution.,19012.0-82098.0
4,Renters,Choice whatever from behavior benefit.,17314.0-68289.0
5,Corporate,Page southern role movie win her.,34132.0-63434.0
6,Retail,Fall pick those gun court attorney product.,32174.0-147080.0
7,Premium,World talk term herself law.,39234.0-121482.0
8,Budget,Class great prove reduce raise author.,12848.0-127397.0
9,Investors,Move each left establish.,23825.0-54165.0
10,Renters,Detail food shoulder argue start source husband.,10976.0-62280.0
11,Corporate,Decision wall then fire.,17164.0-80495.0
12,Retail,How trip learn enter east no enjoy.,26559.0-128907.0
13,Premium,Investment on gun young catch management sense technology.,10869.0-123563.0
14,Budget,Physical society instead as.,16515.0-143850.0
15,Investors,Other life edge network wall quite.,31295.0-141924.0
16,Renters,Race Mr environment political.,27856.0-104987.0
17,Corporate,Fall citizen about reveal.,17223.0-108878.0
18,Retail,Will seven medical blood personal.,29309.0-86463.0
19,Premium,Participant check several much single morning a.,36523.0-50851.0
20,Budget,Major born guy world southern dream.,34864.0-70926.0
21,Investors,There water beat magazine attorney.,32876.0-105392.0
22,Renters,She campaign little near enter their institution.,21149.0-86421.0
23,Corporate,Up sense ready require human.,15094.0-78221.0
24,Retail,Just military building different full open.,35018.0-94118.0
25,Premium,Open according remain arrive attack.,13349.0-62156.0
26,Budget,Teacher audience draw.,22449.0-62676.0
27,Investors,Democrat car very number line six space.,21763.0-95082.0
28,Renters,Behind probably great in tell.,29782.0-84671.0
29,Corporate,Pull worker better.,36447.0-55695.0
30,Retail,Rock song body court movie cell.,33911.0-110217.0
31,Premium,Everything economic type kitchen.,27571.0-66361.0
32,Budget,Better present music address behavior send door.,22403.0-60328.0
33,Investors,Magazine degree husband around her world.,28089.0-88427.0
34,Renters,Unit size expect recent room.,37177.0-132397.0
35,Corporate,Product main couple design around save article.,30267.0-97400.0
36,Retail,Arm once me system church whether.,28918.0-75203.0
37,Premium,Surface attention attack technology.,33087.0-59116.0
38,Budget,Build three east organization people information.,11501.0-136673.0
39,Investors,North first end prove fire enter capital population.,17467.0-87930.0
40,Renters,First sell authority leader your you available.,12614.0-80512.0
41,Corporate,Media car give attention each.,38392.0-63238.0
42,Retail,Citizen street region particularly would.,22455.0-86434.0
43,Premium,Account stage federal professional voice care break.,24857.0-133320.0
44,Budget,Score choice example decision.,37332.0-97819.0
45,Investors,Data plant enough major town suffer.,15329.0-98520.0
46,Renters,Plant stop analysis four.,21641.0-77460.0
47,Corporate,Pm energy scientist necessary.,31960.0-84993.0
48,Retail,Night born war real chance along.,32997.0-139593.0
49,Premium,Old challenge camera final together someone.,31234.0-59358.0
50,Budget,Together decide economic.,29960.0-133227.0
51,Investors,Government nice themselves wind.,15607.0-120010.0
52,Renters,Understand door class son.,33892.0-82087.0
53,Corporate,Thing agent say forward.,15354.0-110589.0
54,Retail,Soon ten specific environment skin blue.,22433.0-85382.0
55,Premium,Teach develop staff.,30971.0-140198.0
56,Budget,Glass star the development process huge everything.,28250.0-78785.0
57,Investors,Whom evidence political hundred.,32433.0-92504.0
58,Renters,Former agree theory end oil worker although.,37618.0-57331.0
59,Corporate,Its rock finish paper memory history office effort.,17505.0-54207.0
60,Retail,Ability understand Mrs rest score provide.,36379.0-91347.0
