owner_ship_id,owner_id,unit_id
1,1,2636
2,2,183
3,3,4093
4,4,4866
5,5,7898
6,5,3148
7,6,4744
8,8,6073
9,9,7028
10,10,1968
11,11,649
12,12,556
13,12,3851
14,13,3979
15,13,7704
16,14,3912
17,14,3652
18,15,7422
19,15,704
20,16,8153
21,17,3036
22,17,6750
23,17,2549
24,18,5063
25,19,6748
26,19,2568
27,20,4957
28,20,4722
29,20,5200
30,21,1248
31,22,4280
32,23,1561
33,24,2577
34,24,2272
35,25,675
36,27,3527
37,28,7778
38,28,123
39,28,4823
40,29,7645
41,29,4986
42,29,4037
43,30,7737
44,30,6904
45,31,2374
46,31,6495
47,32,6136
48,33,1158
49,33,5197
50,33,2682
51,34,5493
52,35,7158
53,36,347
54,37,3450
55,37,863
56,38,80
57,38,8275
58,39,4439
59,39,4574
60,39,5596
61,40,2383
62,40,2430
63,41,1983
64,41,5018
65,42,3700
66,42,5340
67,43,557
68,44,6908
69,45,8303
70,46,5922
71,47,1628
72,48,3391
73,48,4080
74,49,4148
75,49,2022
76,49,8923
77,50,5021
78,50,7047
79,51,1835
80,52,1618
81,53,6281
82,53,8443
83,54,486
84,55,1161
85,56,2471
86,57,7706
87,57,4326
88,58,2602
89,59,513
90,60,8134
91,61,4497
92,61,7403
93,62,1918
94,63,6016
95,64,6772
96,64,1617
97,65,4337
98,66,6195
99,67,3352
100,67,3253
101,68,633
102,69,2863
103,70,1126
104,72,6715
105,73,4000
106,74,2983
107,75,7902
108,75,8447
109,75,4056
110,76,6026
111,77,3228
112,78,905
113,78,3652
114,79,3370
115,80,2733
116,81,6012
117,81,401
118,82,4605
119,83,7030
120,83,920
121,84,7591
122,85,2142
123,85,7476
124,86,6267
125,86,6118
126,87,382
127,87,3004
128,88,251
129,89,2553
130,89,2417
131,89,3085
132,90,1765
133,91,3166
134,92,5892
135,93,5043
136,94,4080
137,95,2061
138,96,7461
139,96,6562
140,97,7840
141,98,6542
142,99,7035
143,99,610
144,99,3536
145,100,2859
146,101,75
147,102,3188
148,103,4081
149,104,4102
150,105,3604
151,106,5590
152,107,2740
153,108,586
154,109,2745
155,109,7697
156,110,4082
157,111,269
158,112,3811
159,113,657
160,114,8439
161,115,7081
162,116,8675
163,116,276
164,117,837
165,118,6140
166,119,5927
167,119,8096
168,120,2126
169,121,5833
170,122,8617
171,123,1640
172,123,8727
173,125,7626
174,125,6350
175,125,7683
176,126,7292
177,126,8393
178,127,1033
179,128,5751
180,128,1350
181,128,1078
182,129,1730
183,129,6744
184,129,2773
185,130,4374
186,130,733
187,131,3265
188,131,3106
189,131,8583
190,132,7811
191,133,4991
192,133,8828
193,133,7263
194,134,6637
195,136,6939
196,137,575
197,138,1901
198,139,2201
199,140,149
200,141,7557
201,142,6716
202,143,3544
203,145,7577
204,145,1757
205,145,7570
206,146,5517
207,147,6645
208,148,1935
209,149,3893
210,150,5576
211,150,8349
212,151,6315
213,151,8480
214,152,3818
215,153,1793
216,154,15
217,155,6079
218,155,3511
219,155,5826
220,156,1779
221,156,937
222,157,5744
223,158,7012
224,158,7254
225,159,8598
226,159,7639
227,159,8070
228,160,5769
229,160,8552
230,161,5810
231,162,3949
232,162,256
233,163,6695
234,163,2431
235,163,820
236,164,8078
237,164,2558
238,165,2781
239,165,7287
240,166,4642
241,167,720
242,168,2585
243,169,4527
244,170,3216
245,170,8554
246,172,1616
247,172,1701
248,172,4144
249,173,3514
250,173,7162
251,174,3295
252,174,1250
253,175,8870
254,176,8481
255,177,3662
256,178,7150
257,179,3884
258,180,359
259,181,7732
260,181,2712
261,181,5995
262,182,4338
263,183,4301
264,183,2522
265,184,6702
266,185,6770
267,185,8331
268,186,2940
269,187,8131
270,188,1464
271,188,2149
272,189,1556
273,190,6261
274,190,6820
275,191,3282
276,192,4011
277,193,287
278,194,3338
279,195,8531
280,195,3912
281,195,6768
282,196,5855
283,198,6693
284,199,8567
285,199,2698
286,199,2060
287,200,6964
288,200,3573
289,200,7309
290,201,3834
291,202,8345
292,203,2356
293,204,3259
294,204,4946
295,205,1503
296,206,838
297,206,4992
298,207,7949
299,208,7949
300,209,497
301,209,8038
302,209,2505
303,210,1091
304,210,6685
305,211,7838
306,212,8481
307,213,3816
308,214,7513
309,214,4736
310,215,834
311,215,1870
312,215,4012
313,216,6161
314,217,3825
315,218,2839
316,219,5385
317,220,1288
318,221,2612
319,222,263
320,223,5171
321,224,7302
322,225,8675
323,225,5790
324,226,7512
325,227,7715
326,227,6044
327,228,6336
328,229,7597
329,229,7587
330,230,4650
331,230,1145
332,231,3203
333,232,4295
334,233,6114
335,234,3764
336,234,8036
337,235,5488
338,235,6092
339,235,949
340,236,2237
341,237,7520
342,238,6705
343,239,5227
344,240,8305
345,241,4716
346,242,507
347,243,19
348,244,1552
349,245,5817
350,245,199
351,246,2784
352,247,2955
353,248,2193
354,248,4601
355,249,975
356,249,1936
357,250,7373
358,251,7431
