owner_ship_id,owner_id,unit_id
1,1,3036
2,1,6750
3,1,2549
4,2,5063
5,3,6748
6,3,2568
7,4,4957
8,4,4722
9,4,5200
10,5,1248
11,6,4280
12,7,1561
13,8,2577
14,8,2272
15,9,675
16,11,3527
17,12,7778
18,12,123
19,12,4823
20,13,7645
21,13,4986
22,13,4037
23,14,7737
24,14,6904
25,15,2374
26,15,6495
27,16,6136
28,17,1158
29,17,5197
30,17,2682
31,18,5493
32,19,7158
33,20,347
34,21,3450
35,21,863
36,22,80
37,22,8275
38,23,4439
39,23,4574
40,23,5596
41,24,2383
42,24,2430
43,25,1983
44,25,5018
45,26,3700
46,26,5340
47,27,557
48,28,6908
49,29,8303
50,30,5922
51,31,1628
52,32,3391
53,32,4080
54,33,4148
55,33,2022
56,33,8923
57,34,5021
58,34,7047
59,35,1835
60,36,1618
61,37,6281
62,37,8443
63,38,486
64,39,1161
65,40,2471
66,41,7706
67,41,4326
68,42,2602
69,43,513
70,44,8134
71,45,4497
72,45,7403
73,46,1918
74,47,6016
75,48,6772
76,48,1617
77,49,4337
78,50,6195
79,51,3352
80,51,3253
81,52,633
82,53,2863
83,54,1126
84,56,6715
85,57,4000
86,58,2983
87,59,7902
88,59,8447
89,59,4056
90,60,6026
91,61,3228
92,62,905
93,62,3652
94,63,3370
95,64,2733
96,65,6012
97,65,401
98,66,4605
99,67,7030
100,67,920
101,68,7591
102,69,2142
103,69,7476
104,70,6267
105,70,6118
106,71,382
107,71,3004
108,72,251
109,73,2553
110,73,2417
111,73,3085
112,74,1765
113,75,3166
114,76,5892
115,77,5043
116,78,4080
117,79,2061
118,80,7461
119,80,6562
120,81,7840
121,82,6542
122,83,7035
123,83,610
124,83,3536
125,84,2859
126,85,75
127,86,3188
128,87,4081
129,88,4102
130,89,3604
131,90,5590
132,91,2740
133,92,586
134,93,2745
135,93,7697
136,94,4082
137,95,269
138,96,3811
139,97,657
140,98,8439
141,99,7081
142,100,8675
143,100,276
144,101,837
145,102,6140
146,103,5927
147,103,8096
148,104,2126
149,105,5833
150,106,8617
151,107,1640
152,107,8727
153,109,7626
154,109,6350
155,109,7683
156,110,7292
