unit_id,type,status,price,location,floor_number,transaction_id,customer_id,portfolio_id,project_id
1,Commercial,Available,1575931.63,New Matthewfort,11,,,138.0,33
2,Apartment,Sold,424577.67,Robertfort,12,617.0,7497.0,72.0,91
3,Studio,Reserved,2119736.38,Port Theresa,12,,,206.0,127
4,Studio,Reserved,529649.02,South Ericmouth,0,5865.0,301.0,186.0,116
5,Studio,Sold,2334091.25,Huntstad,8,517.0,1420.0,66.0,87
6,Studio,Available,663899.66,Lucashaven,17,1154.0,4218.0,187.0,17
7,Studio,Under Construction,1848008.38,Allenside,11,2510.0,787.0,383.0,3
8,Commercial,Reserved,747405.71,Lake Justinburgh,6,,,132.0,44
9,Villa,Sold,828574.25,Michaelfurt,16,5360.0,3493.0,288.0,6
10,Villa,Under Construction,809504.54,Randyport,0,,,88.0,146
11,Studio,Available,1882336.02,Port Cameronside,10,,,234.0,153
12,Commercial,Sold,1414197.04,West Dennis,6,,,389.0,89
13,Commercial,Under Construction,2213233.52,Johnhaven,2,818.0,4086.0,44.0,14
14,Commercial,Under Construction,803063.16,North Jessicaview,6,,,20.0,42
15,Commercial,Under Construction,1745381.68,Rebeccamouth,20,,,333.0,89
16,Apartment,Reserved,1894724.07,Craneton,14,5758.0,1528.0,317.0,28
17,Villa,Available,421131.18,East Cherylmouth,8,,,267.0,103
18,Villa,Sold,1031443.93,Tuckerton,17,,,363.0,92
19,Studio,Available,1232902.86,North Brianberg,0,5484.0,52.0,398.0,172
20,Villa,Reserved,921434.11,New Loretta,12,,,217.0,113
21,Apartment,Reserved,839175.86,West Michaelview,17,4148.0,4251.0,340.0,2
22,Villa,Under Construction,1731728.74,South Joshua,4,,,253.0,179
23,Apartment,Available,578872.67,Cathychester,3,116.0,7767.0,46.0,94
24,Commercial,Sold,1788007.33,South Amanda,20,,,62.0,17
25,Studio,Reserved,2340858.28,Wheelerport,10,4176.0,1842.0,234.0,180
26,Villa,Sold,1434733.93,South Katherinetown,16,,,52.0,38
27,Studio,Under Construction,1548013.88,Lake Carrieshire,12,853.0,4659.0,198.0,150
28,Studio,Reserved,218885.12,Port Brittanyside,13,,,45.0,85
29,Apartment,Available,2167968.41,East Annaport,9,,,164.0,44
30,Commercial,Available,749347.08,Jamesland,14,,,340.0,52
31,Studio,Sold,1556875.36,Guerrerofurt,3,,,393.0,18
32,Studio,Available,2448824.82,Hillfurt,18,3648.0,7884.0,98.0,19
33,Commercial,Available,1508981.37,East Angelaville,15,,,116.0,88
34,Commercial,Available,1825538.24,Benjaminville,15,,,245.0,114
35,Commercial,Under Construction,1141033.06,South Cheryl,9,931.0,2853.0,31.0,21
36,Villa,Reserved,197896.32,West Curtis,18,,,176.0,51
37,Studio,Reserved,2004118.41,North Christopherville,14,,,314.0,122
38,Apartment,Sold,135747.16,North Joseph,15,6122.0,5705.0,80.0,83
39,Commercial,Available,1766611.68,Carsonfort,12,,,370.0,137
40,Villa,Under Construction,106157.85,Port Gabrielfort,10,,,9.0,28
41,Apartment,Sold,2162647.83,Fischermouth,15,1024.0,4276.0,15.0,175
42,Commercial,Reserved,436208.29,Claireland,15,2268.0,1447.0,204.0,18
43,Apartment,Reserved,1309965.16,Ingramstad,4,,,256.0,45
44,Studio,Reserved,1513019.23,Connieton,6,4088.0,3045.0,167.0,79
45,Apartment,Available,1170986.25,New Brett,10,,,89.0,111
46,Apartment,Under Construction,884870.55,East Reneeburgh,9,,,274.0,99
47,Villa,Reserved,1196145.03,East Kevinmouth,16,,,268.0,49
48,Studio,Under Construction,812968.6,Vasquezborough,19,,,58.0,176
49,Commercial,Reserved,1123399.75,Stephaniefort,18,,,329.0,21
50,Studio,Available,929336.83,Karenburgh,7,2121.0,3176.0,92.0,51
51,Apartment,Reserved,1437201.82,Port Karen,5,2155.0,4.0,251.0,68
52,Studio,Available,632914.2,Johnsonburgh,11,5571.0,5565.0,308.0,98
53,Villa,Under Construction,2472208.56,Paulview,6,2710.0,5685.0,235.0,180
54,Apartment,Under Construction,1277131.39,Danielchester,16,2115.0,751.0,301.0,52
55,Studio,Sold,525697.09,Lake Kimberlyview,8,,,62.0,135
56,Apartment,Reserved,1218813.54,East Alexchester,16,,,301.0,16
57,Commercial,Under Construction,2172717.07,Freemanstad,0,163.0,6025.0,270.0,127
58,Villa,Reserved,103426.64,Kimberlyhaven,0,,,261.0,33
59,Villa,Available,1714907.59,Trevortown,0,,,345.0,148
60,Villa,Reserved,1392521.1,Jacobsview,4,1791.0,2619.0,286.0,154
61,Studio,Under Construction,465417.09,Gonzalesberg,0,,,73.0,103
62,Villa,Available,2052817.28,Lake Eric,17,,,86.0,91
63,Apartment,Reserved,953767.32,East Angela,14,,,252.0,60
64,Commercial,Reserved,769814.97,Alyssabury,7,,,208.0,59
65,Commercial,Available,2078906.72,Lake Frederickfort,7,,,202.0,30
66,Studio,Sold,1614386.36,North Williammouth,19,,,371.0,105
67,Villa,Sold,2250734.76,Chadborough,6,,,211.0,150
68,Commercial,Available,1593215.07,Lake Sherrifort,15,2753.0,4674.0,281.0,54
69,Villa,Available,1865003.26,North Virginia,20,5671.0,2266.0,189.0,98
70,Studio,Under Construction,2099292.45,Foxburgh,17,668.0,5230.0,297.0,176
71,Studio,Sold,184112.11,Loganland,17,,,233.0,82
72,Villa,Sold,1951319.95,Kimberlyburgh,3,,,280.0,168
73,Apartment,Sold,1553580.88,Laurastad,2,5067.0,6747.0,168.0,126
74,Villa,Available,220294.1,New Kimberly,17,5220.0,3301.0,108.0,180
75,Apartment,Under Construction,1296015.91,North Michaelport,5,,,73.0,129
76,Studio,Under Construction,252022.29,West Patriciatown,7,,,45.0,17
77,Villa,Available,1853070.64,Tamaraland,9,,,267.0,29
78,Apartment,Sold,1388929.2,Millertown,7,,,220.0,45
79,Studio,Under Construction,2386255.17,Lake Thomasberg,20,,,32.0,27
80,Commercial,Under Construction,498681.66,West Alyssaside,3,,,292.0,107
81,Commercial,Sold,1534781.96,Claytonport,0,5277.0,548.0,85.0,172
82,Commercial,Available,568376.23,Taylorburgh,6,,,71.0,165
83,Villa,Under Construction,1554459.21,North Rebeccashire,13,,,197.0,46
84,Apartment,Sold,1820491.77,New Ryanton,14,,,145.0,18
85,Villa,Available,1819645.61,Patricktown,14,,,177.0,171
86,Commercial,Sold,2046931.28,Hollyport,10,,,24.0,175
87,Villa,Available,2141198.06,Adamschester,8,,,253.0,169
88,Villa,Available,239315.73,Brandonmouth,3,,,304.0,34
89,Apartment,Under Construction,891004.53,East Hannahshire,8,5511.0,6524.0,262.0,136
90,Villa,Sold,1733450.17,South Kathryn,11,811.0,1548.0,215.0,120
91,Apartment,Available,1271536.4,Josephtown,3,3883.0,3819.0,139.0,124
92,Villa,Under Construction,517156.07,East Kimberly,5,2267.0,7751.0,89.0,13
93,Studio,Available,1404138.45,Port Sherritown,19,,,14.0,169
94,Apartment,Under Construction,1048217.35,Mendozaborough,9,6513.0,7766.0,340.0,139
95,Commercial,Sold,1005593.78,Justinfurt,4,,,10.0,105
96,Commercial,Under Construction,2033896.61,Lake Johnborough,7,,,210.0,71
97,Studio,Available,1048615.92,East Jonathan,11,4377.0,3133.0,84.0,64
98,Villa,Available,114813.54,Smithborough,4,,,293.0,163
99,Commercial,Reserved,192255.18,Peckton,3,3229.0,2417.0,186.0,18
100,Commercial,Under Construction,2147797.9,Lake Amanda,5,,,125.0,172
101,Commercial,Under Construction,2403471.98,North Louis,20,5605.0,4295.0,215.0,73
102,Studio,Under Construction,1736602.87,Kellerport,10,,,334.0,2
103,Apartment,Reserved,942702.32,West Jacquelineport,12,2935.0,509.0,259.0,179
104,Apartment,Reserved,2349570.77,North Rachelstad,4,6844.0,4277.0,230.0,104
105,Commercial,Available,1673867.56,Lake Colleen,7,5115.0,2951.0,19.0,117
